rank,story_id,title_internal,bounded_moment,audience,topics,service_actions,score,source_media_id,source_permalink,privacy_state,proof_ceiling,packet_state
77,JEN-STORY-2676499163989810265,"we missed some of my family who couldn’t make it, and it was a heavy and emotional few days. this pa","we missed some of my family who couldn’t make it, and it was a heavy and emotional few days. this past week, i learned that lola had Dutch grandparents.",,jen human lens,,65,2676499163989810265,https://www.instagram.com/p/CUk1c8XPhxZ/,DEIDENTIFIED,EXPERIENCE,DEEP
78,JEN-STORY-2641886750689262500,I helped them navigate through multiple offers and get them the perfect home to settle in.,I helped them navigate through multiple offers and get them the perfect home to settle in.,SELLER,client move stories,,65,2641886750689262500,https://www.instagram.com/p/CSp3gCfpPuk/,DEIDENTIFIED,EXPERIENCE,DEEP
79,JEN-STORY-2615667200008993586,I know it got a little worrisome for a second when there just wasn’t enough 5 bed homes on the marke,"I know it got a little worrisome for a second when there just wasn’t enough 5 bed homes on the market, but thanks, [handle removed] and Louis, for trusting me on this journey. But I made sure to negotiate a bit of a free rent back for them to give us time to find their forever home.",BUYER; SELLER,life transitions around home,,65,2615667200008993586,https://www.instagram.com/p/CRMt3XDLTsy/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
80,JEN-STORY-2607840075809908749,"there was one property we put an offer on, and you guessed it… we lost against multiple offers. fast","there was one property we put an offer on, and you guessed it… we lost against multiple offers. fast forward and here we are — i now own a pretty badass property with one of my best friends.",BUYER; SELLER,life transitions around home,,65,2607840075809908749,https://www.instagram.com/p/CQw6LtlrWgN/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
81,JEN-STORY-2417046636632203914,"After losing out on several homes, these buyers got discouraged and felt their previous agent just w","After losing out on several homes, these buyers got discouraged and felt their previous agent just wasn’t fighting for them. we managed to beat out several offers on this one to get them the home",BUYER,work clients never carried,HANDLED,65,2417046636632203914,https://www.instagram.com/p/CGLExwmA-KK/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
82,JEN-STORY-2401813704418138251,"After 45 days in escrow, our buyers’ original lender couldn’t get the deal done despite our buyers h","After 45 days in escrow, our buyers’ original lender couldn’t get the deal done despite our buyers having good income and amazing credit scores.",BUYER; SELLER,client move stories,,65,2401813704418138251,https://www.instagram.com/p/CFU9Na8ghiL/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
83,JEN-STORY-2230201475471008493,"But when I got a call today and heard the news, I didn’t want to believe it. Today I cried a differe","But when I got a call today and heard the news, I didn’t want to believe it. Today I cried a different kind of tears as I learned that my favorite athlete of all time is gone.",,jen human lens,,65,2230201475471008493,https://www.instagram.com/p/B7zRG0DAGLt/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
84,JEN-STORY-2167939036134572665,This property sat on the market for over 200+ day’s with another agent before we found it. Our Silve,This property sat on the market for over 200+ day’s with another agent before we found it. Our Silverlake diamond in the rough just sold in a little over [address removed] home to buyers who are so excited to make it their home.,BUYER; SELLER,unclassified,,65,2167939036134572665,https://www.instagram.com/p/B4WEREvgQJ5/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
85,JEN-STORY-2109214272432222423,Constantly running into multiple offers? We helped our buyer add to his investment property portfoli,Constantly running into multiple offers? We helped our buyer add to his investment property portfolio with this home that was in a multiple offer situation and for LESS than asking!,BUYER; SELLER,life transitions around home,,65,2109214272432222423,https://www.instagram.com/p/B1FbzSngbDX/,NEEDS_JEN_APPROVAL,EXPERIENCE,DEEP
86,JEN-STORY-2010646542021846808,"After receiving multiple offers, we put this property under contract and closed in just 2 weeks and ","After receiving multiple offers, we put this property under contract and closed in just 2 weeks and for more than asking price.",SELLER,unclassified,,65,2010646542021846808,https://www.instagram.com/p/BvnQGCKFGcY/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
87,JEN-STORY-1904758014772250275,everything else is just the scar tissue of existence masquerading as our fears and insecurities. i l,"everything else is just the scar tissue of existence masquerading as our fears and insecurities. i learned that when you detach from expectations and vibrate on a frequency of unconditional love rather than fear, you allow things to happen just as they're supposed to...",,jen human lens,,65,1904758014772250275,https://www.instagram.com/p/BpvD1KVlAaj/,DEIDENTIFIED,EXPERIENCE,DEEP
88,JEN-STORY-1804157700634807110,"with the most handsome best man ever 😏 failed AC at the church, 95° with 55% humidity, and all black","with the most handsome best man ever 😏 failed AC at the church, 95° with 55% humidity, and all black outfits didn’t stop anyone from enjoying the day and dancing all night. i learned that the spanish achy breaky heart song is danced completely differently from filipinos and i had to sit it out 😅 #linedancefail #stilldancedallnight #selenasongsmademehappy #BeaLexTiesTheKnot",,jen human lens,,65,1804157700634807110,https://www.instagram.com/p/BkJp96xH4tG/,DEIDENTIFIED,EXPERIENCE,DEEP
89,JEN-STORY-1413912382854156843,everything else is just the scar tissue of existence masquerading as our fears and insecurities. i l,"everything else is just the scar tissue of existence masquerading as our fears and insecurities. i learned that when you detach from expectations and vibrate on a frequency of unconditional love rather than fear, you allow things to happen just as they're supposed to...",,jen human lens,,65,1413912382854156843,https://www.instagram.com/p/BOfOdIrjFIr/,DEIDENTIFIED,EXPERIENCE,DEEP
90,JEN-STORY-2454991884053905992,i negotiated to include the furniture and a $100k credit for my buyer,i negotiated to include the furniture and a $100k credit for my buyer,BUYER,work clients never carried,PROTECTED,63,2454991884053905992,https://www.instagram.com/p/CIR4hyHgAJI/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
91,JEN-STORY-3926787729673177251,"✨ JUST LISTED | VAN NUYS, CA ✨",,SELLER,local life and homes,,61,3926787729673177251,https://www.instagram.com/p/DZ-wKKXiEij/,DEIDENTIFIED,EXPERIENCE,BANK
92,JEN-STORY-3845563205096039658,If you’re a first-time home buyer in California and the down payment is what’s been holding you back,,BUYER,life transitions around home,,61,3845563205096039658,https://www.instagram.com/p/DVeL1xBD-Tq/,DEIDENTIFIED,EXPERIENCE,BANK
93,JEN-STORY-3834045602464931267,The market is moving. Are you? 🐎📉,,BUYER; SELLER,local life and homes,,61,3834045602464931267,https://www.instagram.com/p/DU1RClrkh3D/,DEIDENTIFIED,EXPERIENCE,BANK
94,JEN-STORY-3807193317277625913,New year. Same city.,,BUYER; SELLER,local life and homes,,61,3807193317277625913,https://www.instagram.com/p/DTV3iaTku45/,DEIDENTIFIED,EXPERIENCE,BANK
95,JEN-STORY-3729656415196946333,Sometimes all you need is a little peace + a lot of space. ✨,,BUYER; SELLER,local life and homes,,61,3729656415196946333,https://www.instagram.com/p/DPCZr_CEh-d/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
96,JEN-STORY-3725290420734382083,✨ Just Listed in Sherwood Forest! ✨,,SELLER,local life and homes,,61,3725290420734382083,https://www.instagram.com/p/DOy4-Z1CdAD/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
97,JEN-STORY-3653616954558533585,Why imagine the dream when you can LIVE it in Tarzana?,,BUYER; SELLER,local life and homes,,61,3653616954558533585,https://www.instagram.com/p/DK0QUMxzk_R/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
98,JEN-STORY-3643437616374682334,#MyHousesellersPresents,,SELLER,local life and homes,,61,3643437616374682334,https://www.instagram.com/p/DKQFzVVTxLe/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
99,JEN-STORY-3628979267813808528,Why rent when you can OWN in LA?,,BUYER; SELLER,local life and homes,,61,3628979267813808528,https://www.instagram.com/p/DJcuWq7TJmQ/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
100,JEN-STORY-3628150321391964082,🏡💫 JUST LISTED! 🏡💫,,BUYER; SELLER,local life and homes,,61,3628150321391964082,https://www.instagram.com/p/DJZx36aSY-y/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
101,JEN-STORY-3623848522690601474,What if I told you… you 𝘥𝘰𝘯’𝘵 have to give it up?⁣,,BUYER; SELLER,local life and homes,,61,3623848522690601474,https://www.instagram.com/p/DJKfwgKzCIC/,DEIDENTIFIED,EXPERIENCE,BANK
102,JEN-STORY-3622322926113339355,"𝐇𝐢, 𝐈’𝐦 𝐉𝐞𝐧 — 𝐰𝐞𝐥𝐜𝐨𝐦𝐞! ✨⁣⁣",,BUYER; SELLER,local life and homes,,61,3622322926113339355,https://www.instagram.com/p/DJFE4JovTfb/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
103,JEN-STORY-3425157952472748783,🏡🎉 JUST SOLD 🏡🎉,,BUYER; SELLER,decision clarity,,61,3425157952472748783,https://www.instagram.com/p/C-ImwKwvhLv/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
104,JEN-STORY-2973052358068100492,#MyHouseSellersPresents,,SELLER,local life and homes,,61,2973052358068100492,https://www.instagram.com/p/ClCZ14lSV2M/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
105,JEN-STORY-2963779057468095815,#MyHouseSellersPresents,,SELLER,local life and homes,,61,2963779057468095815,https://www.instagram.com/p/CkhdVmZIL1H/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
106,JEN-STORY-2838078723008248630,Come dance into this beautiful estate with us this weekend!!,,SELLER,local life and homes,,61,2838078723008248630,https://www.instagram.com/p/Cdi4Y_RgDs2/,DEIDENTIFIED,EXPERIENCE,BANK
107,JEN-STORY-2319361655856893319,#MyHouseSellersPresents,,SELLER,local life and homes,,61,2319361655856893319,https://www.instagram.com/p/CAwByMzAw2H/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
108,JEN-STORY-2309768158879340336,#MyHouseSellersPresents,,SELLER,local life and homes,,61,2309768158879340336,https://www.instagram.com/p/CAN8ecfgtcw/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
109,JEN-STORY-2084315576691363932,#MyHouseSellersPresents,,SELLER,local life and homes,,61,2084315576691363932,https://www.instagram.com/p/Bzs-flMgJBc/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
110,JEN-STORY-1974147119237320349,#MyHouseSellersPresents,,SELLER,local life and homes,,61,1974147119237320349,https://www.instagram.com/p/BtllFhwgE6d/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
111,JEN-STORY-1959122555861649954,#MyHouseSellersPresents,,BUYER,local life and homes,,61,1959122555861649954,https://www.instagram.com/p/BswM5Wtlsoi/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
112,JEN-STORY-1888052132383075468,COMING SOON! #MyHouseSellersPresents,,SELLER,local life and homes,,61,1888052132383075468,https://www.instagram.com/p/BoztWk8HKyM/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
113,JEN-STORY-1685894003139542848,#MyHouseSellersPresents,,SELLER,local life and homes,,61,1685894003139542848,https://www.instagram.com/p/Bdlf6niF_9A/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
114,JEN-STORY-3504862158636644708,"but even when things got so tough and overwhelming, we did it!","but even when things got so tough and overwhelming, we did it!",,motherhood and family life,,60,3504862158636644708,https://www.instagram.com/p/DCjxZBQPvlk/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
115,JEN-STORY-3122303418836649604,i didn’t make it it to one sunrise 🫣 but i made it to 2 of 3 after parties!,i didn’t make it it to one sunrise 🫣 but i made it to 2 of 3 after parties!,,music community and belonging,,60,3122303418836649604,https://www.instagram.com/p/CtUpmqwvwaE/,DEIDENTIFIED,EXPERIENCE,BANK
116,JEN-STORY-2925911253937095052,"i was scared he would say no 😅 but fresh said if i don’t ask, then i won’t know. bpm the next year a","i was scared he would say no 😅 but fresh said if i don’t ask, then i won’t know. bpm the next year and we made it a mission to check him out whenever he came to spin in LA.",,music community and belonging,,60,2925911253937095052,https://www.instagram.com/p/Cia7MiHPQGM/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
117,JEN-STORY-2855480825873697382,but it wasn’t all sunshine and rainbows. slowly but surely i found my rhythm again.,but it wasn’t all sunshine and rainbows. slowly but surely i found my rhythm again.,,music community and belonging,,60,2855480825873697382,https://www.instagram.com/p/CegtK6hJApm/,DEIDENTIFIED,EXPERIENCE,BANK
118,JEN-STORY-2811520351612635865,beyond wonderland 2019… i couldn’t enjoy myself. he made it through that.,beyond wonderland 2019… i couldn’t enjoy myself. he made it through that.,,music community and belonging,,60,2811520351612635865,https://www.instagram.com/p/CcEht0cpwrZ/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
119,JEN-STORY-2597106529550119324,i actually didn’t meet one person from tampa. we made some special friends that we look forward to r,i actually didn’t meet one person from tampa. we made some special friends that we look forward to raving with again soon!,,music community and belonging,,60,2597106529550119324,https://www.instagram.com/p/CQKxqDprrGc/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
120,JEN-STORY-2594817455812299249,i remember how much i freaked out when everything came to a screeching halt last year. but even amid,"i remember how much i freaked out when everything came to a screeching halt last year. but even amidst a pandemic, after a few shifts and adjustments, i had the best year of my career so far… and i couldn’t be more grateful for all of my clients and the real estate dreams i helped fulfill!",,grief growth and resilience,,60,2594817455812299249,https://www.instagram.com/p/CQCpLpmrMnx/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
121,JEN-STORY-2323648490984579630,"the heaviness, sadness, anger and frustration the past few days have been overwhelming. shoutout to ","the heaviness, sadness, anger and frustration the past few days have been overwhelming. shoutout to my parents and grandma who put together a home cooked feast so i could celebrate with fam.",,grief growth and resilience,,60,2323648490984579630,https://www.instagram.com/p/CA_Qf3IAiIu/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
122,JEN-STORY-1970685180043004501,"so i got hella sad when i heard the news of it closing down, and even a little bitter that there was","so i got hella sad when i heard the news of it closing down, and even a little bitter that there wasn’t good music for us to go visit one last time while we were in town a few weeks ago... throughout the LDR, and even after farrice moved to LA, we found ourselves coming back here time and time again, for bday celebrations, countless after shows, some of our most favorite DJs, or simply to just see what brought us together to begin with — music.",,music community and belonging,,60,1970685180043004501,https://www.instagram.com/p/BtZR7rolwpV/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
123,JEN-STORY-1919377840253748210,"i got really sick one summer and when my stuffy nose had finally cleared, i realized i still couldn’","i got really sick one summer and when my stuffy nose had finally cleared, i realized i still couldn’t smell. i think i showed a property once where my client looked at me crazy for not smelling the gas that had probably been leaking in the house for some time.",,jen human lens,,60,1919377840253748210,https://www.instagram.com/p/Bqi__n2FMPy/,DEIDENTIFIED,EXPERIENCE,BANK
124,JEN-STORY-1914769955859421395,😩 honestly it was because i didn’t quite know what to post exactly for “novelty. ” i asked a few fri,"😩 honestly it was because i didn’t quite know what to post exactly for “novelty. ” i asked a few friends about their take on the word, and nothing just quite resonated with me.",,jen human lens,,60,1914769955859421395,https://www.instagram.com/p/BqSoSFFl1jT/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
125,JEN-STORY-1909798071417816396,"what i didn’t know was where this love would take me. because of music, i found myself going on craz","what i didn’t know was where this love would take me. because of music, i found myself going on crazy adventures and traveling all over the country to see some of my favorite DJs, from los angeles and hollywood to las vegas, chicago, SF, new york, dallas, miami, and new orleans to name a few.",,music community and belonging,,60,1909798071417816396,https://www.instagram.com/p/BqA9zo3lcVM/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
126,JEN-STORY-1803968177434961857,"my dad has always done his best to love and provide for our family, while others didn’t have that pr","my dad has always done his best to love and provide for our family, while others didn’t have that privilege, or no longer do. after i called my dad this morning, i sent out a few texts to greet some other fathers and more than one of the responses i received were “thank you so much, i really appreciate it.",,grief growth and resilience,,60,1803968177434961857,https://www.instagram.com/p/BkI-3_iHqfB/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
127,JEN-STORY-1615381088838261632,"a year ago i almost didn't see [handle removed] at create, but i'm so thankful i did because that ni","a year ago i almost didn't see [handle removed] at create, but i'm so thankful i did because that night i met 2 of my favorite people. they reminded me so much of [handle removed] and me that i called him at 5am chicago time to wake his ass up to tell him all about them and how much fun i had with them that night.",,music community and belonging,,60,1615381088838261632,https://www.instagram.com/p/BZq_IqpFpuA/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
128,JEN-STORY-1464886682833684343,and last week the universe brought you to me and your new home on the best coast 🤗 it feels like the,"and last week the universe brought you to me and your new home on the best coast 🤗 it feels like the next chapter and a new beginning all at the same time, and i couldn't be more excited for what's in store for us 😘😍 (plus now i can bug you ALL the time!",,jen human lens,,60,1464886682833684343,https://www.instagram.com/p/BRUUq0-gId3/,DEIDENTIFIED,EXPERIENCE,BANK
129,JEN-STORY-588706439577961257,I learned 3 chords on the uke and gave up lol.,I learned 3 chords on the uke and gave up lol.,,jen human lens,,60,588706439577961257,https://www.instagram.com/p/grgWNAB4Mp/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
130,JEN-STORY-3849147185066457344,"Every seller’s situation is different, but the process shouldn’t feel confusing or overwhelming.","Every seller’s situation is different, but the process shouldn’t feel confusing or overwhelming.",SELLER,decision clarity,,59,3849147185066457344,https://www.instagram.com/p/DVq6vieFLkA/,DEIDENTIFIED,EXPERIENCE,BANK
131,JEN-STORY-3835456193314356901,having a plan makes the process feel a lot less overwhelming.,having a plan makes the process feel a lot less overwhelming.,BUYER; SELLER,decision clarity,,59,3835456193314356901,https://www.instagram.com/p/DU6RxYyEv6l/,DEIDENTIFIED,EXPERIENCE,BANK
132,JEN-STORY-3832499684502389957,Funny how life works… because now I can’t imagine calling anywhere else home.,Funny how life works… because now I can’t imagine calling anywhere else home.,SELLER,local life and homes,,59,3832499684502389957,https://www.instagram.com/p/DUvxihYj8TF/,DEIDENTIFIED,EXPERIENCE,BANK
133,JEN-STORY-3601233650171428926,Weekend vibe check: From festival fields to finalizing deals! 💥,,BUYER; SELLER,music community and belonging,,59,3601233650171428926,https://www.instagram.com/p/DH6Juy3psA-/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
134,JEN-STORY-3446286670918958478,OCTOBER: We’ll want to start your search right away and get under contract by mid October in order t,OCTOBER: We’ll want to start your search right away and get under contract by mid October in order to have you in your new home by Thanksgiving.,BUYER; SELLER,local life and homes,,59,3446286670918958478,https://www.instagram.com/p/C_Tq3fOSb2O/,DEIDENTIFIED,EXPERIENCE,BANK
135,JEN-STORY-2902137125160835079,"Unfortunately, the first few months of hunting, it seemed like offer after offer, they kept getting ","Unfortunately, the first few months of hunting, it seemed like offer after offer, they kept getting rejected or beat out. We found the perfect one for them and both of their fur babies!",BUYER; SELLER,life transitions around home,,58,2902137125160835079,https://www.instagram.com/p/ChGdlbSr1gH/,DEIDENTIFIED,EXPERIENCE,BANK
136,JEN-STORY-2563477003872110140,"Our buyer didn’t think she could ever buy a property. After our initial meeting, we helped her get p","Our buyer didn’t think she could ever buy a property. After our initial meeting, we helped her get preapproved, and she was qualified for more than she realized.",BUYER,unclassified,,58,2563477003872110140,https://www.instagram.com/p/COTTMDNrgY8/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
137,JEN-STORY-2460732685593763942,"we lost out on a few offers, but they didn’t give up. ultimately we were looking for THE ONE that fe","we lost out on a few offers, but they didn’t give up. ultimately we were looking for THE ONE that felt special and was perfect for them, and we found it!",BUYER,life transitions around home,,58,2460732685593763942,https://www.instagram.com/p/CImR1cMAmBm/,DEIDENTIFIED,EXPERIENCE,BANK
138,JEN-STORY-2738306190294156076,"With a lot of cities in the desert stopping the issuance of short term rental permits, our clients d","With a lot of cities in the desert stopping the issuance of short term rental permits, our clients didn’t know where the best place to buy would be. we managed to find them a property",,work clients never carried,HANDLED,57,2738306190294156076,https://www.instagram.com/p/CYAavjOvIMs/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
139,JEN-STORY-3950734171021239319,"We hit the market on a Thursday, welcomed buyers through the weekend, and were in escrow by the begi","We hit the market on a Thursday, welcomed buyers through the weekend, and were in escrow by the beginning of the following week.",BUYER; SELLER,life transitions around home,,56,3950734171021239319,https://www.instagram.com/p/DbT08vxt-QX/,DEIDENTIFIED,EXPERIENCE,BANK
140,JEN-STORY-3931073944079175590,"✨ JUST SOLD | Fresno, CA ✨",,BUYER; SELLER,ownership and entrepreneurship,,56,3931073944079175590,https://www.instagram.com/p/DaN-uymog-m/,DEIDENTIFIED,EXPERIENCE,BANK
141,JEN-STORY-3836948651768425933,Multiple offers.,Multiple offers.,BUYER; SELLER,life transitions around home,,56,3836948651768425933,https://www.instagram.com/p/DU_lHhCEi3N/,DEIDENTIFIED,EXPERIENCE,BANK
142,JEN-STORY-3786202532327046863,✨ JUST SOLD in Simi Valley!,✨ JUST SOLD in Simi Valley!,BUYER,decision clarity,,56,3786202532327046863,https://www.instagram.com/p/DSLSySbCb7P/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
143,JEN-STORY-3654258654347692132,I’m not sharing this to overwhelm you — it’s to help you feel more informed as you take this big ste,I’m not sharing this to overwhelm you — it’s to help you feel more informed as you take this big step.,BUYER,decision clarity,,56,3654258654347692132,https://www.instagram.com/p/DK2iOKRyohk/,DEIDENTIFIED,EXPERIENCE,BANK
144,JEN-STORY-3649352656993859322,🎉 JUST SOLD!,🎉 JUST SOLD!,SELLER,unclassified,,56,3649352656993859322,https://www.instagram.com/p/DKlGugMPzb6/,DEIDENTIFIED,EXPERIENCE,BANK
145,JEN-STORY-3428262513580978845,🏡🎉 JUST SOLD!,🏡🎉 JUST SOLD!,SELLER,unclassified,,56,3428262513580978845,https://www.instagram.com/p/C-TopemyDKd/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
146,JEN-STORY-3228111966807283663,🏡🎉 JUST SOLD!,🏡🎉 JUST SOLD!,BUYER,life transitions around home,,56,3228111966807283663,https://www.instagram.com/p/CzMjrsEvFfP/,DEIDENTIFIED,EXPERIENCE,BANK
147,JEN-STORY-3114265655900288731,🏡🎉 JUST SOLD!,🏡🎉 JUST SOLD!,BUYER; SELLER,decision clarity,,56,3114265655900288731,https://www.instagram.com/p/Cs4GB0sIrbb/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
148,JEN-STORY-3109237931928137666,🏡🎉 JUST SOLD!,🏡🎉 JUST SOLD!,BUYER; SELLER,unclassified,,56,3109237931928137666,https://www.instagram.com/p/CsmO2z2vy_C/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
149,JEN-STORY-2999997089186823509,"I helped them find the perfect first home not just in time for Christmas, but for Elina’s birthday t","I helped them find the perfect first home not just in time for Christmas, but for Elina’s birthday too!",BUYER,life transitions around home,,56,2999997089186823509,https://www.instagram.com/p/CmiIXU8L71V/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
150,JEN-STORY-2932614859661813034,"When their lease was about to come up the next year, we picked back up on the house hunting, but ran","When their lease was about to come up the next year, we picked back up on the house hunting, but ran into multiple offers.",SELLER,unclassified,,56,2932614859661813034,https://www.instagram.com/p/Ciyva1dLKUq/,DEIDENTIFIED,EXPERIENCE,BANK
151,JEN-STORY-2551041160679103847,"Her job wasn’t going to start for at least another month, and she wasn’t scheduled to arrive in LA f","Her job wasn’t going to start for at least another month, and she wasn’t scheduled to arrive in LA for at least another week.",BUYER; SELLER,unclassified,,56,2551041160679103847,https://www.instagram.com/p/CNnHmttrZ1n/,DEIDENTIFIED,EXPERIENCE,BANK
152,JEN-STORY-2546732489509919716,"We won against multiple offers, and didn’t have to pay an arm and a leg above list price lol.","We won against multiple offers, and didn’t have to pay an arm and a leg above list price lol.",BUYER; SELLER,life transitions around home,,56,2546732489509919716,https://www.instagram.com/p/CNXz7S_L1vk/,DEIDENTIFIED,EXPERIENCE,BANK
153,JEN-STORY-2413503690896914515,Sold in just 4 days with multiple offers above asking.,Sold in just 4 days with multiple offers above asking.,SELLER,market proof and numbers,,56,2413503690896914515,https://www.instagram.com/p/CF-fNHQAThT/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
154,JEN-STORY-2272821565408167764,Multiple offers...,Multiple offers...,SELLER,market proof and numbers,,56,2272821565408167764,https://www.instagram.com/p/B-Kryv8AEdU/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
155,JEN-STORY-2262144261803964117,Sold in a week with multiple offers and closed $31k over asking!,Sold in a week with multiple offers and closed $31k over asking!,BUYER; SELLER,market proof and numbers,,56,2262144261803964117,https://www.instagram.com/p/B9kwDiDg3bV/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
156,JEN-STORY-2202634730711690609,Within 2 weeks we received multiple offers and closed on this beautifully remodeled townhome above a,Within 2 weeks we received multiple offers and closed on this beautifully remodeled townhome above asking price...,SELLER,unclassified,,56,2202634730711690609,https://www.instagram.com/p/B6RVJ4WAi1x/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
157,JEN-STORY-2166938667803787169,Sold in under 2 weeks with multiple offers and closed above asking price.,Sold in under 2 weeks with multiple offers and closed above asking price.,BUYER; SELLER,unclassified,,56,2166938667803787169,https://www.instagram.com/p/B4SgzzIgL-h/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
158,JEN-STORY-2099514862970519815,Sold in less than a week with multiple offers.,Sold in less than a week with multiple offers.,SELLER,unclassified,,56,2099514862970519815,https://www.instagram.com/p/B0i-aToAsEH/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
159,JEN-STORY-2030046390781378861,We just closed on this amazing home on an expansive half acre lot in Lake Balboa.,We just closed on this amazing home on an expansive half acre lot in Lake Balboa.,BUYER; SELLER,unclassified,,56,2030046390781378861,https://www.instagram.com/p/BwsLG_QFoEt/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
160,JEN-STORY-1756908216838286644,Listed and sold $23k over asking price with multiple offers in 2 weeks!,Listed and sold $23k over asking price with multiple offers in 2 weeks!,SELLER,market proof and numbers,,56,1756908216838286644,https://www.instagram.com/p/Bhhyrb3nG00/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
161,JEN-STORY-1548129173208490238,another happy seller as i just closed on my client's 3rd unit in this mid-wilshire/koreatown buildin,another happy seller as i just closed on my client's 3rd unit in this mid-wilshire/koreatown building.,SELLER,unclassified,,56,1548129173208490238,https://www.instagram.com/p/BV8D0fbguD-/,DEIDENTIFIED,EXPERIENCE,BANK
162,JEN-STORY-1091513539241673611,"this is my 3rd unit sold in the building this year, with all of them receiving multiple offers and s","this is my 3rd unit sold in the building this year, with all of them receiving multiple offers and selling OVER asking price.",BUYER; SELLER,unclassified,,56,1091513539241673611,https://www.instagram.com/p/8l1cfmB4OL/,DEIDENTIFIED,EXPERIENCE,BANK
163,JEN-STORY-3971765591938800288,"They didn’t just update the kitchen—they brought in massive porcelain slabs, premium Thermador appli","They didn’t just update the kitchen—they brought in massive porcelain slabs, premium Thermador appliances, and real wood custom cabinetry.",,decision clarity,,55,3971765591938800288,https://www.instagram.com/p/Dcei8M2oZqg/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
164,JEN-STORY-3946459077972999047,i’ll always do everything i can to help you find the best home for your budget. 🏡,,BUYER,local life and homes,,54,3946459077972999047,https://www.instagram.com/p/DbEo59HMjuH/,DEIDENTIFIED,EXPERIENCE,BANK
165,JEN-STORY-3846297804944141097,Porter Ranch living… without the $1M+ price tag. 👀,,BUYER; SELLER,local life and homes,,54,3846297804944141097,https://www.instagram.com/p/DVgy3mcD2sp/,DEIDENTIFIED,EXPERIENCE,BANK
166,JEN-STORY-3785519468421022862,but here we are.,but here we are.,BUYER,music community and belonging,,54,3785519468421022862,https://www.instagram.com/p/DSI3eZlj4SO/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
167,JEN-STORY-3685596965112699654,"We planned, we packed, and honestly… we braced ourselves.","We planned, we packed, and honestly… we braced ourselves.",BUYER,travel and experience design,,54,3685596965112699654,https://www.instagram.com/p/DMl3umizNsG/,NEEDS_JEN_APPROVAL,EXPERIENCE,BANK
